Query_ID,Match_ID,Dentist_Grade,Query_File,Match_File
270,1108,1,35ce94e7-e07f-4700-bf0b-f4527e520caf_139186156.stl,da6c16b3-0d81-4e83-87fa-1f47163add29_138370014.stl
270,1152,1,35ce94e7-e07f-4700-bf0b-f4527e520caf_139186156.stl,e2449df4-b826-4348-bfea-e6b34a50f088_241076479.stl
270,988,1,35ce94e7-e07f-4700-bf0b-f4527e520caf_139186156.stl,c4673adc-0577-4280-9de5-13567010d404_80847807.stl
232,1246,3,2eca13e2-6807-440d-a5e3-99863229d42d_101120402.stl,f7889cef-64b1-4d18-ac74-cc563eeae9f2_120140499.stl
232,553,2,2eca13e2-6807-440d-a5e3-99863229d42d_101120402.stl,6adab233-0392-4c34-8ca9-26af28a055ba_148786869.stl
232,1026,3,2eca13e2-6807-440d-a5e3-99863229d42d_101120402.stl,cc9b81ea-984d-4e62-a1d0-18e7d5d7e0b2_128299860.stl
87,1174,5,10503e60-3a26-47fd-be8f-76cd89125897_246795528.stl,e66dd95a-a0e0-44d6-b1df-bbfd97307432_134358407.stl
87,449,5,10503e60-3a26-47fd-be8f-76cd89125897_246795528.stl,5868a32d-9646-4b83-b1e5-de9dc0d1c9de_105221103.stl
87,940,5,10503e60-3a26-47fd-be8f-76cd89125897_246795528.stl,b8eded9f-7a1a-4ae5-a28b-368a4ec9fee5_97206461.stl
320,522,1,401449e8-1876-469b-8372-0d9d36ae7570_252055491.stl,61a646a2-be8a-40cb-932e-c134df9bf91e_228837912.stl
320,455,1,401449e8-1876-469b-8372-0d9d36ae7570_252055491.stl,5882c789-c16b-4b3c-aabf-eaee8606983c_253641739.stl
320,1055,1,401449e8-1876-469b-8372-0d9d36ae7570_252055491.stl,d05eca8e-20ac-47e7-aaf1-aedf64015c83_144037182.stl
497,244,9,5f0160b1-4378-4926-b3c8-b8328dd65889_112510479.stl,2eca13e2-6807-440d-a5e3-99863229d42d_256908295.stl
497,1255,9,5f0160b1-4378-4926-b3c8-b8328dd65889_112510479.stl,fbdd0f4e-cfb4-44e3-8692-ae7796548698_118205090.stl
497,844,7,5f0160b1-4378-4926-b3c8-b8328dd65889_112510479.stl,aa4b5f45-89a3-40cc-9b7e-acceb022b684_99684317.stl
960,7,9,bd17b766-b08f-4b87-8bea-f82bcf7437e5_129482001.stl,02021fff-a88c-4aae-92e5-08a3f18701aa_133418847.stl
960,360,9,bd17b766-b08f-4b87-8bea-f82bcf7437e5_129482001.stl,468f1eda-cc3e-4dba-97d2-d7a8d99783e6_154968448.stl
960,426,5,bd17b766-b08f-4b87-8bea-f82bcf7437e5_129482001.stl,53dc928e-eb3d-4b90-807a-9f2d6722f5c8_104267871.stl
372,21,7,484c0703-7c2a-46f7-b8d9-3eb4b9495e8b_116313666.stl,04c31ab6-a86a-4e74-b808-12856cd6fec8_146744650.stl
372,637,9,484c0703-7c2a-46f7-b8d9-3eb4b9495e8b_116313666.stl,7f270a79-1bef-4782-9a99-b245136d2ff3_94063614.stl
372,632,9,484c0703-7c2a-46f7-b8d9-3eb4b9495e8b_116313666.stl,7f270a79-1bef-4782-9a99-b245136d2ff3_90876708.stl
