Query_ID,Match_ID,Dentist_Grade,Query_File,Match_File
568,938,0,6e852acc-ca98-467c-91de-72f135ed2eb0_103081304.stl,b8de8bc0-e13a-4b8c-9dca-eff3f22f6394_166411330.stl
568,398,1,6e852acc-ca98-467c-91de-72f135ed2eb0_103081304.stl,50924d4a-ff44-4122-94f2-6cde42779fe3_139186335.stl
568,1247,0,6e852acc-ca98-467c-91de-72f135ed2eb0_103081304.stl,f80ec6bb-eef5-453a-87f9-e4b595d4036f_163018649.stl
1092,623,4,d76da914-65aa-48fe-8994-0caa92b40566_112874289.stl,7af37202-3ffd-41b4-9838-63eff2adcaaa_95960302.stl
1092,154,5,d76da914-65aa-48fe-8994-0caa92b40566_112874289.stl,1e2d5db9-15e9-4bbb-a322-e8014770dd6e_174296031.stl
1092,550,6,d76da914-65aa-48fe-8994-0caa92b40566_112874289.stl,6810abcb-5552-4a9c-8a5e-01d94f9f0a34_248525971.stl
822,405,3,a6f632d2-6885-462c-90be-044fe5b7b935_135495113.stl,4e864ec3-c8d3-4e1f-a00d-8abc4a87a9aa_93613240.stl
822,147,3,a6f632d2-6885-462c-90be-044fe5b7b935_135495113.stl,1d6b497f-47b2-4558-86f8-e638d5a22e03_95933806.stl
822,1047,2,a6f632d2-6885-462c-90be-044fe5b7b935_135495113.stl,cf7f57f1-e9f8-49b6-8155-b7270cd5979d_128417025.stl
911,394,3,b5c23f00-bc25-4e30-a4c8-35ea588930f7_139185578.stl,4cc7446e-e87e-46b8-bdf8-885ab5a7f32b_149252971.stl
911,159,3,b5c23f00-bc25-4e30-a4c8-35ea588930f7_139185578.stl,1f6d623e-897a-42e1-b9a8-8c37d762a7b7_99203214.stl
911,414,2,b5c23f00-bc25-4e30-a4c8-35ea588930f7_139185578.stl,5181bb85-3ed6-4f9d-9965-eb5add5cf839_105221554.stl
388,306,7,4c40aca0-17a2-4ac8-a562-5c02694c7542_237350804.stl,3da81aac-385c-418d-8db5-b5b63529b952_227630049.stl
388,644,7,4c40aca0-17a2-4ac8-a562-5c02694c7542_237350804.stl,7ff52e00-fa1b-43a9-b198-dd4c978e46f8_258383568.stl
388,307,8,4c40aca0-17a2-4ac8-a562-5c02694c7542_237350804.stl,3da81aac-385c-418d-8db5-b5b63529b952_159266122.stl
608,516,5,760ef7cd-ea70-4e4e-bf98-a9a097456b2f_138940060.stl,612b314a-5c2c-4633-8784-c94feefef386_72032590.stl
608,217,4,760ef7cd-ea70-4e4e-bf98-a9a097456b2f_138940060.stl,2be8708c-1453-45fb-95e7-c49a938fcead_118610233.stl
608,999,7,760ef7cd-ea70-4e4e-bf98-a9a097456b2f_138940060.stl,c4673adc-0577-4280-9de5-13567010d404_107161565.stl
518,1268,5,6175f4f1-ab2a-4f2b-a7dd-ff400967e152_130835011.stl,fd60211e-63dc-480a-b828-3e8f61e6ba0a_96859081.stl
518,743,5,6175f4f1-ab2a-4f2b-a7dd-ff400967e152_130835011.stl,9152b443-f680-4f29-8489-7490b6806185_178617234.stl
518,724,5,6175f4f1-ab2a-4f2b-a7dd-ff400967e152_130835011.stl,8d395d73-f857-4d37-ba70-87e08b454d5e_71207338.stl
1032,885,5,cc9b81ea-984d-4e62-a1d0-18e7d5d7e0b2_244999188.stl,b2c2e709-a26c-4320-9213-e2bcb9161216_157690894.stl
1032,896,6,cc9b81ea-984d-4e62-a1d0-18e7d5d7e0b2_244999188.stl,b2c2e709-a26c-4320-9213-e2bcb9161216_234578262.stl
1032,188,5,cc9b81ea-984d-4e62-a1d0-18e7d5d7e0b2_244999188.stl,236ff37c-85a3-406a-b91c-f99b7d463adf_268315141.stl
403,916,5,4e843234-9a38-4559-a13a-f06e07c954f2_138080623.stl,b557e4e2-b1e9-4f3d-9591-623a60b3e5c9_76282449.stl
403,951,5,4e843234-9a38-4559-a13a-f06e07c954f2_138080623.stl,bc52e782-3a50-4ab9-96ec-ab06360cf0df_139183123.stl
403,203,5,4e843234-9a38-4559-a13a-f06e07c954f2_138080623.stl,2759fff5-9e30-4b63-95ee-588804d17fc9_235936423.stl
378,743,5,4ad97a40-040d-4df4-908a-117913128399_176556151.stl,9152b443-f680-4f29-8489-7490b6806185_178617234.stl
378,303,5,4ad97a40-040d-4df4-908a-117913128399_176556151.stl,3c9e8e8e-6e93-4838-9338-92c735eb80a2_124936766.stl
378,1268,5,4ad97a40-040d-4df4-908a-117913128399_176556151.stl,fd60211e-63dc-480a-b828-3e8f61e6ba0a_96859081.stl
823,358,5,a73f16ae-1554-47fc-9879-9cef483142f0_258036519.stl,468f1eda-cc3e-4dba-97d2-d7a8d99783e6_177035812.stl
823,1027,5,a73f16ae-1554-47fc-9879-9cef483142f0_258036519.stl,cc1666d6-f148-4d08-b59d-9c5f38dae831_139182157.stl
823,896,5,a73f16ae-1554-47fc-9879-9cef483142f0_258036519.stl,b2c2e709-a26c-4320-9213-e2bcb9161216_234578262.stl
