Query_ID,Match_ID,Dentist_Grade,Query_File,Match_File
1069,1072,10,d4c9ce44-7d8b-4bf5-a111-66192630f859_247659226.stl,d4c9ce44-7d8b-4bf5-a111-66192630f859_97078472.stl
1069,1034,9,d4c9ce44-7d8b-4bf5-a111-66192630f859_247659226.stl,cca3d42f-1471-4f37-b324-0be8dcb34d50_138933880.stl
1069,185,5,d4c9ce44-7d8b-4bf5-a111-66192630f859_247659226.stl,26797da9-59b1-4f08-8ba5-f2f426669be6_126563256.stl
844,1224,5,aa4b5f45-89a3-40cc-9b7e-acceb022b684_99684317.stl,f19ec690-197b-42c5-ba2b-9372e2d8eb90_128133935.stl
844,497,7,aa4b5f45-89a3-40cc-9b7e-acceb022b684_99684317.stl,5f0160b1-4378-4926-b3c8-b8328dd65889_112510479.stl
844,1270,5,aa4b5f45-89a3-40cc-9b7e-acceb022b684_99684317.stl,ff0e8e72-0dab-4c16-9cb7-d5e04b024567_121066222.stl
342,412,7,414fb4e2-3541-4ccf-85c9-b1fa04dcc247_268493499.stl,5181bb85-3ed6-4f9d-9965-eb5add5cf839_103911576.stl
342,436,7,414fb4e2-3541-4ccf-85c9-b1fa04dcc247_268493499.stl,566b354b-4e46-40f9-935e-f55e4ffc8825_248521938.stl
342,1176,9,414fb4e2-3541-4ccf-85c9-b1fa04dcc247_268493499.stl,e66dd95a-a0e0-44d6-b1df-bbfd97307432_128439291.stl
746,357,3,921f23b4-d9d8-4113-918e-de6819198306_138939424.stl,457c470f-73b7-473b-b325-d7f523cf2cb3_272724698.stl
746,563,3,921f23b4-d9d8-4113-918e-de6819198306_138939424.stl,6d2fec42-76c5-482e-8cc0-bcfd7ad4028b_115287883.stl
746,140,3,921f23b4-d9d8-4113-918e-de6819198306_138939424.stl,1cc5650a-f6c2-4560-9cff-8566d3921de2_256180188.stl
814,749,9,a6d1cb49-9733-482d-ada7-1e707bd67e21_149550158.stl,9232a1c6-c06f-4320-8f8e-1244f1a971f1_133290024.stl
814,558,8,a6d1cb49-9733-482d-ada7-1e707bd67e21_149550158.stl,6b3c3fbd-c94a-4084-847c-530556b078e0_151794726.stl
814,416,7,a6d1cb49-9733-482d-ada7-1e707bd67e21_149550158.stl,528c4fa2-8809-46a0-bdec-0296b388b835_100522506.stl
796,1055,1,9f79d0ae-922f-44f0-bea7-6f09849f250f_139609345.stl,d05eca8e-20ac-47e7-aaf1-aedf64015c83_144037182.stl
796,1153,1,9f79d0ae-922f-44f0-bea7-6f09849f250f_139609345.stl,e0e5dbc6-bbb9-4744-b67e-d7f50fd675b4_258942125.stl
796,1229,1,9f79d0ae-922f-44f0-bea7-6f09849f250f_139609345.stl,ea691d36-b9a4-4521-b184-c709619316fe_249747061.stl
1254,595,7,fb1d49c3-fcf6-46e1-82f1-f7a6d5b8f37e_237654382.stl,730588c5-01b5-4c6d-8e7d-4f32d7003d18_267361681.stl
1254,406,9,fb1d49c3-fcf6-46e1-82f1-f7a6d5b8f37e_237654382.stl,50c7aab3-6af1-4031-96eb-0bc83b2eedce_69584178.stl
1254,1217,9,fb1d49c3-fcf6-46e1-82f1-f7a6d5b8f37e_237654382.stl,ee9d5b1c-2bf2-4deb-889f-d86cbe380ce2_267941718.stl
