Query_ID,Match_ID,Dentist_Grade,Query_File,Match_File
232,1246,7,2eca13e2-6807-440d-a5e3-99863229d42d_101120402.stl,f7889cef-64b1-4d18-ac74-cc563eeae9f2_120140499.stl
232,553,2,2eca13e2-6807-440d-a5e3-99863229d42d_101120402.stl,6adab233-0392-4c34-8ca9-26af28a055ba_148786869.stl
232,1026,7,2eca13e2-6807-440d-a5e3-99863229d42d_101120402.stl,cc9b81ea-984d-4e62-a1d0-18e7d5d7e0b2_128299860.stl
207,36,9,2a77ea8f-7843-4ddc-981d-8dec8d398c4c_94045444.stl,086d26a2-a42c-4c93-bc56-61521a225a7b_235952966.stl
207,565,2,2a77ea8f-7843-4ddc-981d-8dec8d398c4c_94045444.stl,6ef94275-1acc-4888-ad30-c4009d5d535c_172855594.stl
207,37,5,2a77ea8f-7843-4ddc-981d-8dec8d398c4c_94045444.stl,086d26a2-a42c-4c93-bc56-61521a225a7b_260190766.stl
1197,819,7,e6eb3551-d8ee-4038-be92-6847948d6905_71363154.stl,a71941d4-47c8-4e8a-9aea-de138344292c_74875008.stl
1197,692,5,e6eb3551-d8ee-4038-be92-6847948d6905_71363154.stl,89f6e5d9-4fd8-4b50-9ae0-bda4c8239bf1_104270621.stl
1197,1138,5,e6eb3551-d8ee-4038-be92-6847948d6905_71363154.stl,e05be703-2dc3-4aa3-8b8e-f9e92c99f6ae_98515559.stl
1102,238,5,d9f5fab1-0926-4c13-9b16-65bce1b916d8_79120925.stl,2eca13e2-6807-440d-a5e3-99863229d42d_137560362.stl
1102,100,3,d9f5fab1-0926-4c13-9b16-65bce1b916d8_79120925.stl,14d2fd3f-00bd-47f4-b3d1-a3f20a9e6d46_157423522.stl
1102,1221,2,d9f5fab1-0926-4c13-9b16-65bce1b916d8_79120925.stl,ef4dc3db-41af-4d76-bc48-9f95cc60b2ef_138081414.stl
776,770,7,9b75ec63-ac26-4a0b-8151-0a95be32f395_256377272.stl,98d16923-2844-4888-97eb-e32c5bcd51b8_139182769.stl
776,1076,7,9b75ec63-ac26-4a0b-8151-0a95be32f395_256377272.stl,d4c9ce44-7d8b-4bf5-a111-66192630f859_68497837.stl
776,1204,8,9b75ec63-ac26-4a0b-8151-0a95be32f395_256377272.stl,e8f8c4f8-93be-48b6-a002-b67d295a6f05_130140207.stl
616,102,9,79d26c7a-672e-4fb1-bccd-42a56439b7da_228506670.stl,156669b7-1b7f-47a7-8de7-920fa1f479a5_167564961.stl
616,943,9,79d26c7a-672e-4fb1-bccd-42a56439b7da_228506670.stl,b76530fb-ca54-4e86-8bc3-4f452723ff3c_135884949.stl
616,1170,1,79d26c7a-672e-4fb1-bccd-42a56439b7da_228506670.stl,e5a73148-0a7a-41c1-b90c-940ae33cde27_69905938.stl
857,619,7,ad1973b8-9d0f-4bbd-9245-f94fc7a3cb01_232536367.stl,79d26c7a-672e-4fb1-bccd-42a56439b7da_156656991.stl
857,784,7,ad1973b8-9d0f-4bbd-9245-f94fc7a3cb01_232536367.stl,9dfbf4f4-0e53-4424-8216-2e24ccb726c6_137540083.stl
857,918,1,ad1973b8-9d0f-4bbd-9245-f94fc7a3cb01_232536367.stl,b63f405b-9a82-4b32-908e-176e07cf54dd_141330834.stl
