Query_ID,Match_ID,Dentist_Grade,Query_File,Match_File
654,67,10,8333fb27-6ecf-4c4f-92ca-6ceec7cd03f9_103325824.stl,0c854b82-b4a0-4f3f-b1d6-5a170ac38ba6_161778902.stl
654,277,1,8333fb27-6ecf-4c4f-92ca-6ceec7cd03f9_103325824.stl,37dfe2f3-8f03-4602-ba58-3f399b4ce8af_136283599.stl
654,1094,1,8333fb27-6ecf-4c4f-92ca-6ceec7cd03f9_103325824.stl,d71a93ad-0f2b-4dca-8133-c06a016ecd18_159574720.stl
566,987,10,6d8cee57-4cbf-4e16-b930-c53099a16e45_173339142.stl,c33e55b8-827b-4b9c-99b7-6e86adafbfe5_145901995.stl
566,467,1,6d8cee57-4cbf-4e16-b930-c53099a16e45_173339142.stl,59452f5a-3fae-42f2-87ac-16e33eda84cc_227627321.stl
566,557,10,6d8cee57-4cbf-4e16-b930-c53099a16e45_173339142.stl,6b3c3fbd-c94a-4084-847c-530556b078e0_118603733.stl
1181,604,8,e6abe54b-e520-45ec-ae71-b1440ab023f8_256365585.stl,74c73ebb-9e66-4623-a482-8f4baeba6a88_132164104.stl
1181,1053,10,e6abe54b-e520-45ec-ae71-b1440ab023f8_256365585.stl,d05eca8e-20ac-47e7-aaf1-aedf64015c83_229479323.stl
1181,695,10,e6abe54b-e520-45ec-ae71-b1440ab023f8_256365585.stl,89f6e5d9-4fd8-4b50-9ae0-bda4c8239bf1_238006323.stl
1018,240,1,c7a2a64a-2dec-4d90-8fd4-f3910a050bf5_74254920.stl,2ee9d116-5e0e-466d-87c9-ce2b16958198_109605455.stl
1018,1091,1,c7a2a64a-2dec-4d90-8fd4-f3910a050bf5_74254920.stl,d71a93ad-0f2b-4dca-8133-c06a016ecd18_143627452.stl
1018,311,1,c7a2a64a-2dec-4d90-8fd4-f3910a050bf5_74254920.stl,3da81aac-385c-418d-8db5-b5b63529b952_238535010.stl
368,384,1,46db2eb4-c26d-427d-826b-14a6f739c5d3_145049288.stl,4ad97a40-040d-4df4-908a-117913128399_266991089.stl
368,906,1,46db2eb4-c26d-427d-826b-14a6f739c5d3_145049288.stl,b4d3c289-9b1f-4424-8e91-2f5fe0f91749_90534508.stl
368,579,1,46db2eb4-c26d-427d-826b-14a6f739c5d3_145049288.stl,6f6a0346-9c05-4309-9443-7579b25dbced_252019888.stl
703,714,10,8a07dda0-4750-47e8-8ef2-144dc7eeb675_233214812.stl,8bdbe382-5440-4289-8065-75584fd84af7_228095408.stl
703,532,1,8a07dda0-4750-47e8-8ef2-144dc7eeb675_233214812.stl,65de0ae7-2e48-463a-a148-22001605c2f6_144745638.stl
703,1272,10,8a07dda0-4750-47e8-8ef2-144dc7eeb675_233214812.stl,fde39c73-b68e-4f4f-b1c1-18f4e7b2da03_68114070.stl
25,455,7,04c31ab6-a86a-4e74-b808-12856cd6fec8_257767115.stl,5882c789-c16b-4b3c-aabf-eaee8606983c_253641739.stl
25,948,7,04c31ab6-a86a-4e74-b808-12856cd6fec8_257767115.stl,ba8ac2b7-13c4-41f2-bd49-38448dc83cb2_272390820.stl
25,522,9,04c31ab6-a86a-4e74-b808-12856cd6fec8_257767115.stl,61a646a2-be8a-40cb-932e-c134df9bf91e_228837912.stl
619,784,10,79d26c7a-672e-4fb1-bccd-42a56439b7da_156656991.stl,9dfbf4f4-0e53-4424-8216-2e24ccb726c6_137540083.stl
619,48,10,79d26c7a-672e-4fb1-bccd-42a56439b7da_156656991.stl,09ed2bac-db36-44fe-8747-b5af73ca98f4_258729335.stl
619,857,8,79d26c7a-672e-4fb1-bccd-42a56439b7da_156656991.stl,ad1973b8-9d0f-4bbd-9245-f94fc7a3cb01_232536367.stl
252,539,7,30ff768f-a8fb-4b7a-9301-078445840a0e_235938545.stl,670c4db1-e374-45d0-adf3-355c8bedd696_87379851.stl
252,43,6,30ff768f-a8fb-4b7a-9301-078445840a0e_235938545.stl,09abf9eb-ea79-4aac-905c-df5ccd7f8e1b_236806170.stl
252,660,5,30ff768f-a8fb-4b7a-9301-078445840a0e_235938545.stl,840c110b-5e6f-466c-8354-0250a7c157ba_268700891.stl
43,952,6,09abf9eb-ea79-4aac-905c-df5ccd7f8e1b_236806170.stl,bd17b766-b08f-4b87-8bea-f82bcf7437e5_100045394.stl
43,660,7,09abf9eb-ea79-4aac-905c-df5ccd7f8e1b_236806170.stl,840c110b-5e6f-466c-8354-0250a7c157ba_268700891.stl
43,838,10,09abf9eb-ea79-4aac-905c-df5ccd7f8e1b_236806170.stl,a9809708-e1a7-42f2-927b-c15e620e0de8_79142915.stl
905,592,7,b59698aa-9f92-44f3-b24f-db63c501275c_102516075.stl,730588c5-01b5-4c6d-8e7d-4f32d7003d18_112159921.stl
905,113,6,b59698aa-9f92-44f3-b24f-db63c501275c_102516075.stl,18a03244-1847-413d-b88d-ed727652faf5_131360555.stl
905,240,5,b59698aa-9f92-44f3-b24f-db63c501275c_102516075.stl,2ee9d116-5e0e-466d-87c9-ce2b16958198_109605455.stl
153,148,5,1e2d5db9-15e9-4bbb-a322-e8014770dd6e_147300266.stl,1d869645-5d5e-494e-aaa0-454e5bca65cf_141866632.stl
153,953,6,1e2d5db9-15e9-4bbb-a322-e8014770dd6e_147300266.stl,ba32b798-4e21-4efb-9c5f-f050b53b5f6c_137366139.stl
153,553,6,1e2d5db9-15e9-4bbb-a322-e8014770dd6e_147300266.stl,6adab233-0392-4c34-8ca9-26af28a055ba_148786869.stl
992,950,6,c644b18e-f9c5-4b70-bcc5-f11444c8d96f_153315209.stl,ba32b798-4e21-4efb-9c5f-f050b53b5f6c_126828142.stl
992,542,8,c644b18e-f9c5-4b70-bcc5-f11444c8d96f_153315209.stl,670c4db1-e374-45d0-adf3-355c8bedd696_148177193.stl
992,426,7,c644b18e-f9c5-4b70-bcc5-f11444c8d96f_153315209.stl,53dc928e-eb3d-4b90-807a-9f2d6722f5c8_104267871.stl
792,118,10,9f79d0ae-922f-44f0-bea7-6f09849f250f_121459002.stl,1a23f6e0-8ac5-4b98-9f09-906ce4352f34_75810609.stl
792,1154,1,9f79d0ae-922f-44f0-bea7-6f09849f250f_121459002.stl,e21d7f8a-fb72-482f-962b-65a893b0c8c7_121973287.stl
792,79,9,9f79d0ae-922f-44f0-bea7-6f09849f250f_121459002.stl,0dd2a727-8c37-44a3-9714-2c14b6c5e5bd_164633494.stl
310,779,9,3ca7175d-6c01-43b9-9e3d-f73d418d2ed4_234769546.stl,9ba218ce-7bd6-4e27-9737-a7d49c6154ee_124043111.stl
310,1063,1,3ca7175d-6c01-43b9-9e3d-f73d418d2ed4_234769546.stl,d480d11b-beff-4650-9337-7efb77b7dac7_259265602.stl
310,642,8,3ca7175d-6c01-43b9-9e3d-f73d418d2ed4_234769546.stl,7de5a07e-47e0-4467-b3d0-b5391558caab_114049210.stl
741,1050,2,90b116d9-e7eb-48bd-9c72-b8e79d1fda94_234586329.stl,d01671c4-c3b3-46a0-a013-b085bc0a80c4_149532846.stl
741,76,9,90b116d9-e7eb-48bd-9c72-b8e79d1fda94_234586329.stl,0c8fb84b-e513-450e-8f73-0f0070e20d61_253839024.stl
741,1171,8,90b116d9-e7eb-48bd-9c72-b8e79d1fda94_234586329.stl,e5a73148-0a7a-41c1-b90c-940ae33cde27_265535135.stl
764,419,8,98025669-0101-4137-a1ee-f5807b2ad9cb_134218121.stl,528c4fa2-8809-46a0-bdec-0296b388b835_138498683.stl
764,249,1,98025669-0101-4137-a1ee-f5807b2ad9cb_134218121.stl,302381e6-d363-4132-876c-98c257b8677f_73237143.stl
764,474,8,98025669-0101-4137-a1ee-f5807b2ad9cb_134218121.stl,5a7e861f-5d57-4423-943b-776bd3cbb9c9_233741266.stl
586,262,7,72c71a5f-3549-4ff7-b184-b550977a2752_101585838.stl,3493fda8-1a64-4573-b4b6-aca9f9c98562_113221109.stl
586,338,8,72c71a5f-3549-4ff7-b184-b550977a2752_101585838.stl,42fb7900-2280-4647-9db1-8234b36e5fde_265532873.stl
586,874,9,72c71a5f-3549-4ff7-b184-b550977a2752_101585838.stl,ae6dea56-7d27-4aa0-b08a-537109818c69_234580325.stl
792,118,8,9f79d0ae-922f-44f0-bea7-6f09849f250f_121459002.stl,1a23f6e0-8ac5-4b98-9f09-906ce4352f34_75810609.stl
792,1154,1,9f79d0ae-922f-44f0-bea7-6f09849f250f_121459002.stl,e21d7f8a-fb72-482f-962b-65a893b0c8c7_121973287.stl
792,79,10,9f79d0ae-922f-44f0-bea7-6f09849f250f_121459002.stl,0dd2a727-8c37-44a3-9714-2c14b6c5e5bd_164633494.stl
421,507,6,52de4afe-24be-4a9a-9365-101768e1c589_178615751.stl,601dfb05-16e8-4c21-b050-512bc6a27fbb_116176769.stl
421,407,6,52de4afe-24be-4a9a-9365-101768e1c589_178615751.stl,5145195d-ea04-4d02-b0e3-406418b79236_100364264.stl
421,68,7,52de4afe-24be-4a9a-9365-101768e1c589_178615751.stl,0c71f971-4729-4efd-a93e-57b979a9bb1b_241829614.stl
399,157,1,4dc30272-a435-499a-8ced-e2cbf1470dcf_157422574.stl,1f6d623e-897a-42e1-b9a8-8c37d762a7b7_117264158.stl
399,767,1,4dc30272-a435-499a-8ced-e2cbf1470dcf_157422574.stl,934e69ed-ca0e-4851-a9c4-1346c5a2fb95_159409575.stl
399,845,1,4dc30272-a435-499a-8ced-e2cbf1470dcf_157422574.stl,aa6461bb-1114-4693-b3c4-15f0556e2311_252398582.stl
517,615,1,616dd674-28e4-4101-bf73-d582216ad6e2_139182539.stl,79305d12-b3e3-40bc-86fb-fd1d120b2d91_139341824.stl
517,889,1,616dd674-28e4-4101-bf73-d582216ad6e2_139182539.stl,b138fcd2-790a-4648-855c-1dcf2559b198_138942173.stl
517,966,6,616dd674-28e4-4101-bf73-d582216ad6e2_139182539.stl,bfc682bc-6197-43f3-ac15-2e50c30aa45c_104257692.stl
