Query_ID,Match_ID,Dentist_Grade,Query_File,Match_File
517,615,1,616dd674-28e4-4101-bf73-d582216ad6e2_139182539.stl,79305d12-b3e3-40bc-86fb-fd1d120b2d91_139341824.stl
517,889,1,616dd674-28e4-4101-bf73-d582216ad6e2_139182539.stl,b138fcd2-790a-4648-855c-1dcf2559b198_138942173.stl
517,966,6,616dd674-28e4-4101-bf73-d582216ad6e2_139182539.stl,bfc682bc-6197-43f3-ac15-2e50c30aa45c_104257692.stl
849,1206,7,ab44cebc-1ef6-4d34-90d3-b5a208f49432_256720223.stl,e9bc1dff-548a-4545-a058-771705e3d55e_76901872.stl
849,585,8,ab44cebc-1ef6-4d34-90d3-b5a208f49432_256720223.stl,718b98dd-47ce-459d-a30f-afc50985c4f2_172875408.stl
849,39,9,ab44cebc-1ef6-4d34-90d3-b5a208f49432_256720223.stl,08288aaf-c1dc-4389-b1fd-0ebd8541ae95_262473867.stl
931,196,10,b7277d0f-844c-426a-ba65-9612430f1f37_175503487.stl,26f99bcc-966d-4df4-ba79-1421c8adb704_99456432.stl
931,1097,6,b7277d0f-844c-426a-ba65-9612430f1f37_175503487.stl,d78ce571-bb41-492a-a091-908656c5fcf5_150749032.stl
931,360,5,b7277d0f-844c-426a-ba65-9612430f1f37_175503487.stl,468f1eda-cc3e-4dba-97d2-d7a8d99783e6_154968448.stl
676,207,1,87c45f54-3293-4cac-bb0e-c851d5302c6f_135245914.stl,2a77ea8f-7843-4ddc-981d-8dec8d398c4c_94045444.stl
676,565,1,87c45f54-3293-4cac-bb0e-c851d5302c6f_135245914.stl,6ef94275-1acc-4888-ad30-c4009d5d535c_172855594.stl
676,36,1,87c45f54-3293-4cac-bb0e-c851d5302c6f_135245914.stl,086d26a2-a42c-4c93-bc56-61521a225a7b_235952966.stl
1126,1266,7,de94ca02-4b00-4610-9d92-f5124fc715c7_241826257.stl,fafc3722-6e1e-440d-b0a9-7a748c249cc8_126824489.stl
1126,876,6,de94ca02-4b00-4610-9d92-f5124fc715c7_241826257.stl,b1b92b99-b6e4-4d36-a0eb-4bd2c51be9a0_78385287.stl
1126,315,6,de94ca02-4b00-4610-9d92-f5124fc715c7_241826257.stl,3e7b5627-1a8c-45d9-a622-f0a6c7e64c39_77859961.stl
336,626,7,414fb4e2-3541-4ccf-85c9-b1fa04dcc247_268492412.stl,7a1343a9-948c-4fb2-983d-725b004a1404_120651631.stl
336,588,5,414fb4e2-3541-4ccf-85c9-b1fa04dcc247_268492412.stl,718b98dd-47ce-459d-a30f-afc50985c4f2_268887060.stl
336,658,4,414fb4e2-3541-4ccf-85c9-b1fa04dcc247_268492412.stl,82581966-1d4d-4e18-b812-a02818ba7ac8_117533790.stl
810,1105,3,a6cf765a-ba29-4099-ab98-d94935b73500_161341551.stl,d9f5fab1-0926-4c13-9b16-65bce1b916d8_105457773.stl
810,425,4,a6cf765a-ba29-4099-ab98-d94935b73500_161341551.stl,53dc928e-eb3d-4b90-807a-9f2d6722f5c8_87386766.stl
810,175,6,a6cf765a-ba29-4099-ab98-d94935b73500_161341551.stl,22f97d92-b578-4a29-8b56-bbd7635aab46_248002102.stl
